Материал;Краткий текст материала;Длинный текст материала;Базовая ЕИ;Группа материалов;Вид материала;Вид класса;Класс;Формат;Имя признака;Название признака;Значение признака;ОбозначЗначПризнака;Техническая ЕИ значения признака;Материал(полный текст);Значение признака;ОбозначЗначПризнака
000000001300198419;Подшипник 7310 ГОСТ520;Подшипник 7310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7310 ГОСТ520;;
000000001300198419;Подшипник 7310 ГОСТ520;Подшипник 7310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7310 ГОСТ520;;
000000001300198420;Подшипник 7320 ГОСТ520;Подшипник 7320 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7320;7320;;Подшипник 7320 ГОСТ520;;
000000001300198420;Подшипник 7320 ГОСТ520;Подшипник 7320 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7320 ГОСТ520;;
000000001300198420;Подшипник 7320 ГОСТ520;Подшипник 7320 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7320 ГОСТ520;;
000000001300198421;Подшипник 7604 ГОСТ520;Подшипник 7604 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7604;7604;;Подшипник 7604 ГОСТ520;;
000000001300198421;Подшипник 7604 ГОСТ520;Подшипник 7604 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7604 ГОСТ520;;
000000001300198421;Подшипник 7604 ГОСТ520;Подшипник 7604 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7604 ГОСТ520;;
000000001300198422;Подшипник 7606 ГОСТ520;Подшипник 7606 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7606;7606;;Подшипник 7606 ГОСТ520;;
000000001300198422;Подшипник 7606 ГОСТ520;Подшипник 7606 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7606 ГОСТ520;;
000000001300198422;Подшипник 7606 ГОСТ520;Подшипник 7606 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7606 ГОСТ520;;
000000001300198423;Подшипник 7612 ГОСТ520;Подшипник 7612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7612;7612;;Подшипник 7612 ГОСТ520;;
000000001300198423;Подшипник 7612 ГОСТ520;Подшипник 7612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7612 ГОСТ520;;
000000001300198423;Подшипник 7612 ГОСТ520;Подшипник 7612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7612 ГОСТ520;;
000000001300198424;Подшипник 7613 ГОСТ520;Подшипник 7613 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7613;7613;;Подшипник 7613 ГОСТ520;;
