Мдт;Материал;Краткий текст материала;Длинный текст материала;Создано;Создал;ПслднИзм;Изменил;ВидМ;ГруппаМтр;БЕИ
400;000000001300198478;Подшипник 136 ГОСТ520;Подшипник 136 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198479;Подшипник 408 ГОСТ520;Подшипник 408 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198480;Подшипник 202 ГОСТ520;Подшипник 202 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198481;Подшипник 205 ГОСТ520;Подшипник 205 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198482;Подшипник 300 ГОСТ520;Подшипник 300 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198483;Подшипник 207 ГОСТ520;Подшипник 207 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198484;Подшипник 210 ГОСТ520;Подшипник 210 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198486;Подшипник 217 ГОСТ520;Подшипник 217 ГОСТ520;29.10.2014;TMZ-KIV02;14.02.2025;RFCGWESBMOS;ZZAP;N13040000;ШТ
400;000000001300198487;Подшипник 226 ГОСТ520;Подшипник 226 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198488;Подшипник 236 ГОСТ520;Подшипник 236 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198489;Подшипник 200 ГОСТ520;Подшипник 200 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198490;Подшипник 301 ГОСТ520;Подшипник 301 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198491;Подшипник 410 ГОСТ520;Подшипник 410 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198492;Подшипник 411 ГОСТ520;Подшипник 411 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198493;Подшипник 307 ГОСТ520;Подшипник 307 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198494;Подшипник 315/6315 ГОСТ520;Подшипник 315/6315 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198495;Подшипник 317 ГОСТ520;Подшипник 317 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198496;Подшипник 322 ГОСТ520;Подшипник 322 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198497;Подшипник 330 ГОСТ520;Подшипник 330 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198498;Подшипник 412 ГОСТ520;Подшипник 412 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198499;Подшипник 50306 ГОСТ520;Подшипник 50306 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198502;Подшипник 50408 ГОСТ520;Подшипник 50408 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198505;Подшипник 60201 ГОСТ520;Подшипник 60201 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198506;Подшипник 60204 ГОСТ520;Подшипник 60204 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198508;Подшипник 60208 ГОСТ520;Подшипник 60208 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198509;Подшипник 60212 ГОСТ520;Подшипник 60212 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198510;Подшипник 60304 ГОСТ520;Подшипник 60304 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198511;Подшипник 60307 ГОСТ520;Подшипник 60307 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198512;Подшипник 60310 ГОСТ520;Подшипник 60310 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198520;Подшипник 4074907 ГОСТ520;Подшипник 4074907 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198522;Подшипник 180104 ГОСТ520;Подшипник 180104 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198523;Подшипник 180203 ГОСТ520;Подшипник 180203 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198524;Подшипник 180205 ГОСТ520;Подшипник 180205 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198525;Подшипник 180206 ГОСТ520;Подшипник 180206 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198526;Подшипник 180306 ГОСТ520;Подшипник 180306 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198527;Подшипник 180502 ГОСТ520;Подшипник 180502 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198528;Подшипник 180504 ГОСТ520;Подшипник 180504 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198529;Подшипник 180606 ГОСТ520;Подшипник 180606 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
